PS_i	PS_j	Sim_HPO
PS159000	PS601462	1.09513
PS191100	PS213300	1.09507
PS115150	PS211530	1.09505
PS118100	PS249000	1.0949
PS118100	PS208085	1.09483
PS210600	PS212065	1.09478
PS191100	PS309510	1.09462
PS114580	PS607765	1.09457
PS147920	PS225750	1.09454
PS606215	PS608567	1.09453
PS127550	PS131100	1.09444
PS176670	PS251450	1.09444
PS183600	PS272430	1.09436
PS228520	PS249000	1.09422
PS127000	PS607634	1.09416
PS227650	PS250950	1.09415
PS173900	PS612286	1.09388
PS242860	PS251270	1.09368
PS272430	PS277300	1.09358
PS117550	PS277300	1.09355
PS193100	PS259900	1.09346
PS214150	PS303350	1.09342
PS235200	PS300009	1.09332
PS175780	PS309801	1.09331
PS113900	PS306955	1.0932
PS257300	PS609060	1.09318
PS250950	PS600462	1.09277
PS227650	PS601675	1.09268
PS309510	PS614039	1.09249
PS193100	PS208500	1.09206
PS135900	PS212066	1.09202
PS600462	PS609060	1.09192
PS236670	PS300000	1.09179
PS115150	PS312170	1.09175
PS154500	PS220210	1.09142
PS156610	PS614039	1.09131
PS160120	PS168000	1.0913
PS208000	PS235200	1.09129
PS256520	PS309800	1.09111
PS251270	PS251600	1.09109
PS202700	PS212066	1.09104
PS233400	PS251450	1.09093
PS123100	PS147920	1.09092
PS108300	PS251270	1.09084
PS161800	PS614080	1.09079
PS308240	PS608594	1.09079
PS215100	PS244400	1.09063
PS213300	PS257920	1.09056
PS235200	PS276700	1.09051
PS303350	PS614080	1.09048
PS248370	PS253600	1.09045
PS208085	PS609308	1.0904
PS180849	PS605389	1.09034
PS112240	PS309510	1.09011
PS157640	PS300352	1.09008
PS224690	PS601495	1.08998
PS122470	PS157640	1.08978
PS157640	PS208085	1.08976
PS202700	PS600462	1.08973
PS187300	PS259700	1.08972
PS108720	PS607594	1.08958
PS180849	PS604004	1.08952
PS236100	PS309510	1.08948
PS112240	PS208500	1.08947
PS222470	PS607014	1.08942
PS250950	PS602014	1.0894
PS190440	PS210600	1.08937
PS243310	PS312170	1.08922
PS135900	PS609192	1.08892
PS212065	PS213300	1.0888
PS167200	PS214450	1.08879
PS158810	PS604004	1.08849
PS161800	PS607432	1.08845
PS211530	PS300352	1.08839
PS113900	PS606215	1.08833
PS108300	PS190440	1.08831
PS249270	PS610542	1.08825
PS208085	PS312170	1.08811
PS248370	PS256450	1.08808
PS160150	PS215100	1.08803
PS308240	PS600462	1.08797
PS158810	PS160565	1.0878
PS259700	PS613155	1.08779
PS233400	PS603041	1.08777
PS147920	PS228520	1.08739
PS212065	PS253600	1.08737
PS127550	PS259700	1.08733
PS135900	PS608594	1.08732
PS112240	PS117550	1.08725
PS208500	PS252150	1.08716
PS214150	PS603041	1.08697
PS233400	PS300000	1.08693
PS300000	PS305100	1.08691
PS187300	PS601462	1.0869
PS165500	PS312080	1.08689
PS236100	PS308350	1.08683
PS147920	PS176670	1.08679
PS105550	PS213300	1.08664
PS115150	PS603041	1.08648
PS157640	PS600462	1.08638
PS214100	PS272430	1.0863
PS225750	PS300000	1.08597
PS210600	PS222470	1.08588
PS306955	PS609192	1.08572
PS242860	PS265120	1.08569
PS185800	PS259100	1.08548
PS210600	PS608594	1.08538
PS123100	PS154500	1.08532
PS242860	PS309510	1.08527
PS269500	PS309510	1.08521
PS156200	PS277600	1.08497
PS213300	PS249270	1.08493
PS134600	PS200600	1.08483
PS127000	PS257300	1.08478
PS163950	PS269500	1.08471
PS158350	PS160900	1.0847
PS118100	PS257300	1.08462
PS253310	PS601390	1.08447
PS128100	PS225750	1.08445
PS133100	PS308240	1.08423
PS193100	PS248370	1.08417
PS153840	PS229200	1.08412
PS308350	PS603041	1.0841
PS161800	PS208500	1.08398
PS212065	PS220210	1.08385
PS243310	PS308350	1.08384
PS214100	PS607432	1.08381
PS118220	PS607596	1.08353
PS107250	PS135700	1.08351
PS156610	PS233400	1.08347
PS115150	PS603387	1.08342
PS127550	PS212066	1.0834
PS101800	PS208085	1.08337
PS128100	PS610542	1.08325
PS135900	PS215100	1.08314
PS252150	PS253600	1.0831
PS147920	PS608594	1.08309
PS147950	PS601390	1.08295
PS118100	PS601675	1.08293
PS187300	PS601495	1.08284
PS192500	PS241550	1.0827
PS202200	PS248370	1.0827
PS107970	PS168000	1.08246
PS215100	PS253600	1.08241
PS256300	PS300633	1.08238
PS236670	PS249270	1.08238
PS214100	PS312170	1.08218
PS231200	PS607594	1.08217
PS161800	PS300000	1.08211
PS211530	PS277600	1.082
PS158350	PS252150	1.08187
PS275200	PS613155	1.08151
PS117550	PS215100	1.08138
PS273750	PS300000	1.08135
PS257300	PS308350	1.08098
PS157640	PS187300	1.08097
PS272430	PS300000	1.08092
PS132400	PS210600	1.08085
PS272430	PS614080	1.08084
PS251450	PS259100	1.08067
PS180849	PS607596	1.08059
PS151100	PS236100	1.08056
PS211530	PS214100	1.08046
PS157600	PS168600	1.08034
PS203300	PS600630	1.08017
PS252150	PS602014	1.08009
PS160120	PS300352	1.08006
PS212065	PS256730	1.0799
PS120100	PS607086	1.07971
PS227650	PS607014	1.07954
PS257920	PS613155	1.07952
PS242300	PS600630	1.07918
PS224050	PS609060	1.07916
PS166200	PS259700	1.07915
PS236100	PS272430	1.07915
PS158350	PS236670	1.07907
PS180849	PS208085	1.07899
PS108600	PS159000	1.0789
PS259700	PS268310	1.07875
PS183600	PS269500	1.07864
PS187300	PS608808	1.07843
PS166200	PS185800	1.07812
PS100300	PS309510	1.07803
PS156610	PS212066	1.07802
PS147920	PS607432	1.07796
PS105550	PS191100	1.07795
PS601390	PS610489	1.0779
PS147950	PS300000	1.07773
PS179850	PS203300	1.07766
PS180849	PS251270	1.07759
PS176670	PS305100	1.07759
PS158600	PS162400	1.07742
PS167200	PS600630	1.07731
PS108600	PS214150	1.07728
PS112240	PS147920	1.07723
PS254800	PS607432	1.07714
PS211530	PS609060	1.07686
PS157640	PS605711	1.0768
PS115210	PS187300	1.07675
PS100300	PS607432	1.07675
PS118100	PS305100	1.0766
PS136520	PS160700	1.07655
PS135500	PS224690	1.07652
PS180849	PS211530	1.07648
PS268310	PS610489	1.07635
PS166200	PS183600	1.07598
PS127550	PS133100	1.07592
PS104290	PS604004	1.07584
PS104500	PS268310	1.07581
PS163950	PS242860	1.0757
PS168600	PS252150	1.0756
PS133780	PS609192	1.07555
PS257300	PS601675	1.07551
PS300000	PS607432	1.07533
PS215100	PS303350	1.07531
PS179850	PS242300	1.07526
PS220210	PS312080	1.07525
PS212066	PS308350	1.07513
PS156610	PS251600	1.07511
PS212065	PS227650	1.07491
PS231200	PS242860	1.07485
PS167200	PS222470	1.07479
PS222470	PS224120	1.07479
PS178600	PS252350	1.07478
PS183600	PS200600	1.07474
PS135700	PS160120	1.07447
PS108300	PS123100	1.07435
PS156610	PS604004	1.07425
PS187300	PS309800	1.07423
PS127550	PS269500	1.07415
PS118450	PS218330	1.07395
PS601675	PS605389	1.07378
PS133100	PS277450	1.07371
PS128100	PS175780	1.0734
PS167200	PS256520	1.07334
PS105400	PS300000	1.07333
PS151100	PS607326	1.07328
PS251450	PS602483	1.07316
PS193000	PS258150	1.07314
PS601390	PS604004	1.07301
PS101800	PS300000	1.07299
PS100300	PS236100	1.07299
PS160900	PS233300	1.07298
PS123100	PS309801	1.07295
PS273750	PS609308	1.07295
PS250950	PS614080	1.07273
PS161800	PS180849	1.07254
PS257920	PS607326	1.07249
PS180849	PS233400	1.07244
PS156200	PS269500	1.07239
PS158350	PS251450	1.07225
PS208085	PS259900	1.07207
PS227650	PS259700	1.07202
PS601675	PS607596	1.07183
PS220210	PS604004	1.07175
PS212066	PS601495	1.0717
PS187300	PS215100	1.07153
PS132400	PS269500	1.07147
PS180849	PS251200	1.07146
PS123100	PS251200	1.07142
PS210600	PS613155	1.07127
PS156200	PS249000	1.07109
PS210600	PS607596	1.07103
PS151100	PS211530	1.07089
PS115150	PS233400	1.07078
PS209900	PS303350	1.07072
PS309510	PS603387	1.07062
PS147920	PS603041	1.07054
PS308350	PS600118	1.07039
PS209900	PS233300	1.07038
PS122470	PS214100	1.07027
PS161800	PS214100	1.07012
PS265120	PS602483	1.07003
PS214100	PS268310	1.07
PS154500	PS277600	1.06994
PS117550	PS273750	1.06992
PS176670	PS607326	1.06977
PS258150	PS603278	1.06972
PS250950	PS607426	1.0695
PS101800	PS603387	1.06945
PS214100	PS214150	1.06941
PS142690	PS601675	1.06928
PS600462	PS609308	1.06909
PS213600	PS252150	1.069
PS160150	PS603041	1.06894
PS101800	PS236100	1.06893
PS160700	PS165500	1.06888
PS224050	PS248600	1.06888
PS145980	PS193000	1.06884
PS127550	PS607596	1.06875
PS161800	PS228520	1.06855
PS112240	PS249000	1.06845
PS202700	PS614372	1.06839
PS127550	PS605389	1.06837
PS220400	PS304500	1.06833
PS168600	PS604004	1.06825
PS112240	PS193100	1.06819
PS248600	PS613155	1.06817
PS127000	PS201000	1.06814
PS168600	PS614039	1.06814
PS224120	PS231200	1.06813
PS156200	PS214100	1.06784
PS100300	PS162400	1.06774
PS233400	PS277600	1.06762
PS236670	PS609308	1.0676
PS312170	PS607426	1.06755
PS231200	PS609192	1.06749
PS132400	PS265120	1.06741
PS212066	PS609060	1.06718
PS608594	PS614080	1.06715
PS227650	PS273750	1.06712
PS156610	PS308350	1.06708
PS135900	PS214100	1.06697
PS147950	PS275200	1.06689
PS214150	PS608594	1.06687
PS227650	PS609192	1.06687
PS105400	PS239300	1.06644
PS269500	PS300000	1.06635
PS200600	PS259700	1.06624
PS118220	PS168000	1.06621
PS191100	PS212065	1.06596
PS160150	PS308350	1.06576
PS159000	PS272430	1.06575
PS100300	PS607596	1.06551
PS227650	PS277600	1.06542
PS252150	PS608594	1.06535
PS248370	PS252150	1.06521
PS233400	PS312080	1.06515
PS160900	PS605389	1.06512
PS135900	PS201000	1.06504
PS122470	PS213300	1.06502
PS212065	PS604004	1.06493
PS135500	PS252150	1.06485
PS212066	PS601675	1.06484
PS127550	PS250950	1.06472
PS250950	PS259700	1.06452
PS132400	PS218330	1.06448
PS154500	PS614080	1.06445
PS213300	PS225750	1.06445
PS157640	PS254800	1.06435
PS244400	PS253310	1.06433
PS135900	PS208085	1.06429
PS163950	PS176670	1.06426
PS135900	PS211530	1.06422
PS122470	PS610489	1.06405
PS212066	PS603387	1.06404
PS133780	PS600165	1.064
PS208085	PS614039	1.06398
PS202700	PS259700	1.06384
PS157640	PS609192	1.06366
PS603041	PS607432	1.06363
PS151100	PS161800	1.06357
PS159000	PS603041	1.06355
PS100300	PS224690	1.06347
PS187300	PS310300	1.06341
PS256520	PS607432	1.06341
PS131100	PS231200	1.06334
PS156200	PS309800	1.06334
PS157640	PS250950	1.06308
PS214150	PS604004	1.06298
PS135900	PS224690	1.06282
PS164400	PS212065	1.0627
PS187300	PS308240	1.06266
PS277450	PS308240	1.06265
PS135700	PS613155	1.06246
PS220210	PS306955	1.0624
PS186500	PS218330	1.06227
PS251270	PS259700	1.06223
PS108800	PS604772	1.06221
PS211530	PS607432	1.06211
PS610542	PS614039	1.06207
PS256730	PS614080	1.06204
PS160565	PS601462	1.06187
PS193500	PS218330	1.06186
PS151660	PS609192	1.06174
PS211530	PS259700	1.06148
PS128100	PS607596	1.06141
PS160150	PS607432	1.06134
PS157640	PS310300	1.06133
PS113900	PS310300	1.06131
PS231050	PS608594	1.06115
PS259700	PS608594	1.06091
PS108720	PS249500	1.06085
PS123100	PS167200	1.0608
PS118220	PS603041	1.06042
PS211530	PS249000	1.06038
PS114580	PS244400	1.06026
PS161800	PS236670	1.06022
PS142690	PS237450	1.06022
PS136760	PS191100	1.06015
PS156610	PS607596	1.06004
PS254800	PS308350	1.05995
PS133780	PS191100	1.05988
PS308350	PS610542	1.05966
PS178600	PS614429	1.05959
PS268000	PS310700	1.05946
PS214100	PS614039	1.0594
PS118450	PS608594	1.0594
PS175780	PS256730	1.05937
PS159000	PS607596	1.05923
PS277600	PS609308	1.0592
PS306955	PS607426	1.05915
PS156610	PS161800	1.05891
PS162000	PS210200	1.05878
PS160150	PS248370	1.05852
PS200600	PS227650	1.05851
PS112240	PS259700	1.05849
PS220400	PS607086	1.05823
PS117550	PS135500	1.05822
PS119530	PS243310	1.05807
PS248370	PS309510	1.05806
PS104500	PS602483	1.05794
PS118450	PS609192	1.05785
PS600462	PS607426	1.05773
PS228520	PS257920	1.05771
PS104500	PS218330	1.05754
PS265120	PS601462	1.05745
PS212065	PS277600	1.05744
PS182250	PS231050	1.05718
PS220210	PS228520	1.05714
PS200600	PS608594	1.0571
PS160700	PS229200	1.05708
PS127550	PS231200	1.05704
PS101800	PS213300	1.05691
PS253600	PS275200	1.05682
PS161800	PS257920	1.05679
PS242300	PS601675	1.05675
PS256450	PS601678	1.05673
PS309510	PS312170	1.05647
PS214150	PS277300	1.05625
PS218330	PS224120	1.05625
PS119530	PS257920	1.05619
PS133780	PS236670	1.05596
PS180849	PS252150	1.05574
PS108800	PS133100	1.05558
PS123100	PS609192	1.05543
PS253310	PS613155	1.0554
PS100300	PS608594	1.05538
PS187300	PS601419	1.0552
PS166200	PS227650	1.0551
PS209900	PS251270	1.05509
PS227650	PS308230	1.05506
PS105650	PS277450	1.05504
PS127550	PS308230	1.05499
PS211530	PS605711	1.05479
PS253600	PS601462	1.05477
PS161800	PS309510	1.05475
PS151100	PS182250	1.05471
PS212066	PS603041	1.05436
PS251270	PS308350	1.05433
PS157640	PS168000	1.05428
PS105400	PS187300	1.05427
PS136760	PS273750	1.05408
PS248370	PS609308	1.05403
PS214450	PS305100	1.05403
PS215100	PS610542	1.05391
PS210600	PS212066	1.05389
PS127550	PS175100	1.05378
PS212066	PS227650	1.05365
PS212065	PS601462	1.05353
PS308230	PS614675	1.05344
PS188050	PS601495	1.05322
PS249500	PS268310	1.05315
PS190440	PS215100	1.05313
PS119530	PS156610	1.05311
PS115150	PS203100	1.05308
PS300000	PS608594	1.05282
PS227650	PS269500	1.05282
PS154500	PS300345	1.05277
PS115150	PS608594	1.05272
PS105550	PS212065	1.05251
PS607326	PS609308	1.05251
PS100300	PS257300	1.05244
PS212065	PS300352	1.05244
PS242860	PS250950	1.05238
PS252150	PS601675	1.05214
PS248370	PS614080	1.05198
PS154500	PS244400	1.05184
PS118220	PS251450	1.05174
PS135900	PS251450	1.05173
PS160565	PS252150	1.05172
PS211530	PS265120	1.05167
PS135700	PS310500	1.05159
PS310300	PS604169	1.05154
PS104290	PS157600	1.05139
PS164400	PS601462	1.05126
PS163950	PS233400	1.05109
PS177900	PS614372	1.05104
PS147920	PS312170	1.05099
PS608594	PS609308	1.05093
PS309510	PS604004	1.05089
PS119530	PS300000	1.05084
PS157600	PS175780	1.0507
PS224690	PS253310	1.05039
PS603041	PS608594	1.05034
PS210600	PS312080	1.05031
PS251450	PS309800	1.05028
PS108600	PS601462	1.05024
PS224120	PS607014	1.05001
PS166200	PS610489	1.04982
PS186500	PS609192	1.0498
PS256100	PS400044	1.04967
PS241550	PS601144	1.04962
PS312170	PS609308	1.04948
PS244400	PS268310	1.04947
PS209900	PS601675	1.04936
PS214100	PS249270	1.04933
PS161800	PS254130	1.04919
PS166200	PS259100	1.0488
PS168600	PS250950	1.04878
PS309510	PS602483	1.04877
PS268310	PS607634	1.04876
PS208085	PS209900	1.04876
PS214150	PS225750	1.04863
PS135900	PS161800	1.04859
PS136760	PS228520	1.04849
PS163950	PS166200	1.04841
PS154500	PS215100	1.0481
PS211530	PS310300	1.04793
PS309801	PS607014	1.04781
PS248600	PS600462	1.0477
PS208085	PS607594	1.04766
PS153840	PS600165	1.04764
PS220210	PS312170	1.04736
PS160150	PS251450	1.04717
PS185800	PS208500	1.04701
PS193100	PS210600	1.04696
PS147920	PS614039	1.04685
PS212065	PS249000	1.04684
PS180849	PS212065	1.04672
PS105400	PS600118	1.04667
PS135500	PS176670	1.04663
PS185800	PS201000	1.04658
PS600118	PS601462	1.04647
PS127550	PS251270	1.04646
PS601678	PS608594	1.04643
PS218330	PS236100	1.04629
PS208085	PS605711	1.04621
PS127000	PS277300	1.0462
PS185800	PS214150	1.04619
PS107970	PS309801	1.04613
PS136760	PS225750	1.0461
PS312170	PS605711	1.04609
PS163950	PS607086	1.04609
PS224690	PS236100	1.04594
PS601675	PS614080	1.04588
PS127550	PS220210	1.04586
PS158350	PS251270	1.04578
PS253310	PS607326	1.04577
PS168600	PS603041	1.04566
PS107250	PS160565	1.04565
PS168600	PS308350	1.04565
PS253600	PS608594	1.04552
PS163950	PS248370	1.04541
PS300009	PS400044	1.04537
PS236670	PS259700	1.04534
PS166200	PS257300	1.04511
PS133780	PS160565	1.04502
PS147950	PS201000	1.04498
PS239300	PS259700	1.04497
PS248600	PS276700	1.04487
PS127550	PS236670	1.04486
PS277600	PS601675	1.04486
PS133780	PS160900	1.04485
PS185800	PS257920	1.04482
PS249270	PS605711	1.0448
PS276700	PS608594	1.04478
PS104500	PS154500	1.04475
PS213600	PS312170	1.04456
PS193500	PS256520	1.04452
PS101800	PS156200	1.04448
PS251200	PS312080	1.04445
PS177900	PS308240	1.04439
PS236670	PS268310	1.04422
PS607326	PS609192	1.0442
PS127000	PS600118	1.04417
PS158350	PS312080	1.04416
PS182250	PS241550	1.04415
PS135900	PS308350	1.04409
PS239300	PS249500	1.04397
PS266900	PS601678	1.04376
PS168000	PS613038	1.04362
PS201000	PS277300	1.04353
PS224050	PS309510	1.04334
PS105250	PS167200	1.04329
PS168000	PS178600	1.04309
PS128100	PS614039	1.04299
PS127550	PS607765	1.04288
PS300009	PS603041	1.04273
PS249000	PS312080	1.04268
PS107970	PS310300	1.04265
PS190440	PS214150	1.04262
PS156200	PS251200	1.04258
PS158350	PS193500	1.04256
PS115150	PS176670	1.04246
PS112240	PS607014	1.04238
PS133780	PS190440	1.04225
PS220210	PS614039	1.04217
PS160150	PS249270	1.04208
PS160900	PS233400	1.04204
PS122470	PS259700	1.04198
PS154500	PS609192	1.04197
PS162400	PS167200	1.04194
PS142690	PS153100	1.04169
PS257300	PS603387	1.04159
PS253600	PS312080	1.0415
PS118220	PS214150	1.04148
PS128100	PS160150	1.04147
PS248600	PS614039	1.04146
PS600462	PS605711	1.04145
PS266600	PS605389	1.04129
PS118450	PS268310	1.04128
PS231200	PS305100	1.04128
PS166200	PS309510	1.04124
PS157640	PS213300	1.04117
PS193100	PS218330	1.04116
PS134600	PS608594	1.04113
PS163950	PS306955	1.04109
PS203100	PS256730	1.04108
PS160900	PS601678	1.04091
PS310300	PS601462	1.04084
PS118450	PS249000	1.04078
PS176670	PS607014	1.04078
PS239300	PS275200	1.04078
PS210600	PS602483	1.04068
PS231050	PS309800	1.04064
PS166200	PS220210	1.0406
PS112240	PS163950	1.04058
PS201000	PS609308	1.04055
PS156610	PS251200	1.04053
PS135500	PS609192	1.04043
PS168000	PS211530	1.04042
PS157640	PS309510	1.04041
PS256730	PS308350	1.04036
PS175780	PS202700	1.04017
PS600118	PS602483	1.04013
PS156200	PS193500	1.04008
PS212065	PS259700	1.04008
PS187300	PS248370	1.04006
PS145980	PS151660	1.03987
PS120100	PS202700	1.03983
PS156610	PS200600	1.03972
PS187300	PS241550	1.03968
PS133780	PS182250	1.03955
PS112240	PS135900	1.03954
PS123100	PS613155	1.03944
PS257300	PS272430	1.03937
PS168600	PS610489	1.03936
PS250950	PS309800	1.03933
PS160565	PS251450	1.03929
PS160150	PS601390	1.03924
PS162400	PS303350	1.03922
PS308240	PS610799	1.03921
PS180849	PS213300	1.03912
PS259900	PS400044	1.03893
PS162000	PS400044	1.03893
PS607014	PS610489	1.03891
PS156610	PS312170	1.03883
PS253600	PS273750	1.0388
PS213300	PS266900	1.03871
PS236670	PS610542	1.03866
PS136760	PS201000	1.0385
PS147920	PS157640	1.03849
PS135900	PS163950	1.03843
PS100300	PS166200	1.0384
PS231200	PS270300	1.03835
PS158350	PS166200	1.03833
PS164400	PS600118	1.03816
PS252150	PS256300	1.03809
PS104290	PS312170	1.03796
PS312080	PS610542	1.03792
PS156610	PS312080	1.03791
PS135900	PS277600	1.03789
PS121210	PS604004	1.03786
PS118450	PS604169	1.03775
PS161800	PS208085	1.0376
PS188050	PS202700	1.03742
PS222470	PS273750	1.03741
PS191100	PS256100	1.03732
PS118450	PS237450	1.03729
PS157640	PS600118	1.03716
PS180849	PS312080	1.03715
PS100300	PS175780	1.03714
PS212066	PS251200	1.03686
PS115150	PS607432	1.03665
PS243310	PS613038	1.03661
PS107250	PS190440	1.03657
PS190440	PS604004	1.03648
PS108720	PS259100	1.03632
PS142690	PS604931	1.03624
PS153100	PS308240	1.03621
PS310300	PS615895	1.03617
PS203100	PS310500	1.03616
PS239300	PS251200	1.03615
PS165500	PS614039	1.03596
PS306955	PS600721	1.03588
PS236100	PS309800	1.03586
PS190440	PS300000	1.03577
PS154500	PS186500	1.03576
PS167200	PS203100	1.0357
PS277600	PS306955	1.03569
PS100300	PS183600	1.03551
PS151660	PS601678	1.03538
PS600721	PS603041	1.03508
PS117550	PS236100	1.03493
PS208500	PS601675	1.03483
PS183600	PS231050	1.03483
PS117550	PS190440	1.0345
PS211530	PS273750	1.03449
PS233400	PS239300	1.03431
PS101800	PS118100	1.03416
PS161800	PS308350	1.03388
PS303350	PS601462	1.03375
PS180849	PS607634	1.03374
PS127550	PS309510	1.03363
PS306955	PS607765	1.03358
PS160150	PS239300	1.03357
PS259700	PS601462	1.03349
PS175780	PS236670	1.03346
PS101800	PS191100	1.03343
PS119530	PS239300	1.03338
PS160120	PS252150	1.03334
PS601419	PS615895	1.03324
PS249000	PS277600	1.03316
PS112240	PS156200	1.03311
PS214100	PS608594	1.03294
PS191100	PS312080	1.0329
PS175780	PS609308	1.03261
PS145260	PS151660	1.03231
PS151660	PS167200	1.03229
PS277600	PS602483	1.03215
PS133780	PS300345	1.03215
PS132400	PS208085	1.03195
PS118220	PS225750	1.0318
PS123100	PS607596	1.03175
PS160150	PS268310	1.03164
PS160900	PS601144	1.03161
PS187300	PS243310	1.03156
PS259700	PS272430	1.03137
PS104290	PS121200	1.03131
PS120100	PS607765	1.03129
PS220210	PS310300	1.0312
PS100300	PS609308	1.03092
PS160150	PS252150	1.03079
PS115150	PS614039	1.03076
PS166200	PS229200	1.03071
PS229200	PS268000	1.03059
PS236670	PS251450	1.03048
PS256450	PS608594	1.03045
PS210600	PS224050	1.03042
PS131100	PS309800	1.03028
PS212065	PS272430	1.03026
PS600462	PS603041	1.03025
PS127550	PS312080	1.03019
PS160900	PS209900	1.03008
PS212066	PS214100	1.02991
PS158600	PS164400	1.02989
PS153100	PS400044	1.02953
PS160900	PS604169	1.0294
PS160565	PS214150	1.02924
PS108720	PS253600	1.02924
PS193100	PS215100	1.02911
PS272430	PS607596	1.0291
PS231050	PS252150	1.02909
PS233300	PS300633	1.02891
PS251450	PS253600	1.0289
PS201000	PS236100	1.02875
PS251200	PS613155	1.02872
PS115150	PS607596	1.02872
PS213300	PS603387	1.02864
PS115150	PS602483	1.0284
PS176670	PS210600	1.02832
PS193500	PS300000	1.02822
PS151660	PS168000	1.02817
PS187300	PS236100	1.02815
PS210200	PS612286	1.02814
PS252150	PS609192	1.02812
PS161800	PS249270	1.02809
PS277300	PS609192	1.02801
PS118100	PS119530	1.02799
PS256100	PS258150	1.02793
PS251450	PS253310	1.02792
PS249000	PS251200	1.02769
PS214150	PS610542	1.02749
PS109730	PS178600	1.02742
PS127000	PS231050	1.02737
PS248370	PS607634	1.02714
PS236730	PS601678	1.02713
PS160120	PS607432	1.02703
PS265120	PS306400	1.027
PS123100	PS312080	1.027
PS153840	PS266900	1.02687
PS108600	PS609060	1.0268
PS252150	PS272430	1.02672
PS236670	PS609192	1.02665
PS214150	PS601462	1.02644
PS145980	PS266900	1.02643
PS243310	PS251600	1.02638
PS186500	PS259100	1.02626
PS208085	PS233400	1.02625
PS156200	PS609060	1.0262
PS161800	PS164400	1.02605
PS601462	PS609060	1.02599
PS218330	PS242860	1.02595
PS145980	PS237450	1.02595
PS222470	PS256520	1.02595
PS222470	PS235200	1.02594
PS180849	PS193500	1.02583
PS191100	PS233400	1.02582
PS135700	PS160565	1.02572
PS604772	PS614429	1.02562
PS120100	PS266600	1.02551
PS153100	PS305100	1.02535
PS164400	PS609060	1.0252
PS191100	PS225750	1.02514
PS212066	PS268310	1.02479
PS209900	PS610489	1.02473
PS607596	PS609192	1.02473
PS156200	PS305100	1.0247
PS268310	PS310300	1.02465
PS158350	PS235200	1.02464
PS107250	PS243310	1.02462
PS213300	PS214100	1.0245
PS208500	PS211530	1.0245
PS135500	PS610542	1.02441
PS147950	PS610489	1.02435
PS201000	PS306955	1.02434
PS133780	PS160700	1.02432
PS159000	PS614039	1.02426
PS156200	PS231050	1.02421
PS190440	PS607596	1.02408
PS135700	PS268000	1.02396
PS154500	PS242300	1.02385
PS127550	PS309801	1.0238
PS222470	PS231050	1.02378
PS135500	PS211530	1.02376
PS133100	PS270300	1.02375
PS256520	PS613155	1.02357
PS186500	PS603387	1.02355
PS186500	PS609308	1.02347
PS233400	PS601675	1.02345
PS100300	PS607326	1.02342
PS167200	PS243310	1.0232
PS175780	PS601419	1.02319
PS105250	PS179850	1.02314
PS147950	PS220210	1.0231
PS100300	PS135500	1.02308
PS120435	PS214700	1.02302
PS249000	PS604004	1.02301
PS151660	PS233300	1.023
PS309800	PS312080	1.02295
PS237450	PS276700	1.02285
PS127550	PS239300	1.02278
PS161800	PS265120	1.02278
PS105550	PS162400	1.02265
PS259700	PS609192	1.02258
PS127000	PS300009	1.02255
PS210600	PS312170	1.02245
PS248370	PS309800	1.02244
PS175780	PS250950	1.02235
PS118450	PS614080	1.02232
PS136760	PS163950	1.0223
PS157640	PS214100	1.02209
PS252350	PS614429	1.02155
PS252350	PS609620	1.02155
PS115150	PS208500	1.02151
PS157640	PS614039	1.02133
PS118100	PS191100	1.02129
PS176670	PS224690	1.02124
PS191100	PS613038	1.0212
PS115150	PS154500	1.02118
PS122470	PS607432	1.02113
PS214100	PS601462	1.02092
PS277450	PS308230	1.02076
PS268310	PS312170	1.02061
PS100300	PS228520	1.02061
PS212066	PS256520	1.02058
PS258150	PS300009	1.02047
PS601462	PS614039	1.02035
PS200600	PS257920	1.02024
PS235200	PS600630	1.02019
PS601390	PS610542	1.02014
PS136760	PS312170	1.01988
PS128100	PS253600	1.01985
PS178600	PS211400	1.01971
PS114580	PS601675	1.01964
PS127550	PS248370	1.01963
PS193500	PS242860	1.01963
PS108300	PS614080	1.01952
PS602483	PS607014	1.01932
PS156200	PS187300	1.01927
PS161800	PS166200	1.01926
PS168000	PS168600	1.01926
PS119530	PS135500	1.01915
PS127000	PS214150	1.01911
PS158810	PS310300	1.01909
PS151660	PS253600	1.01897
PS187300	PS600721	1.01892
PS158350	PS236100	1.0188
PS601419	PS614039	1.01871
PS127000	PS269500	1.0187
PS200600	PS257300	1.01868
PS251200	PS308350	1.01861
PS227650	PS272430	1.01852
PS160150	PS609192	1.0185
PS212066	PS251270	1.01837
PS101800	PS185800	1.01831
PS154500	PS600165	1.01829
PS210600	PS604004	1.01827
PS160150	PS191100	1.01818
PS203100	PS305100	1.01811
PS108600	PS309510	1.01811
PS145980	PS233300	1.01804
PS187300	PS256520	1.01789
PS604931	PS605389	1.01788
PS157640	PS214150	1.01772
PS231200	PS600630	1.01762
PS250950	PS300009	1.01761
PS133100	PS178600	1.01754
PS607634	PS612286	1.01743
PS163950	PS602483	1.01718
PS214150	PS610489	1.01703
PS160700	PS204000	1.01694
PS135900	PS609060	1.01681
PS133100	PS187950	1.01672
PS160565	PS603041	1.01663
PS133100	PS203300	1.0166
PS160565	PS248370	1.01652
PS160900	PS604772	1.01651
PS127000	PS190440	1.01648
PS225750	PS308230	1.01641
PS191100	PS257920	1.01633
