PS_i	PS_j	Sim_BP	Sim_CC	Sim_MF	Sim_GO_max
PS118100	PS185800	2.57758	1.08413	0.3826	2.57758
PS118100	PS186500	2.57758	1.08413	0.3826	2.57758
PS228520	PS277600	0.30658	2.57701	0.68775	2.57701
PS210200	PS259900	2.57196	1.31128	1.04483	2.57196
PS601678	PS601764	2.00621	1.42699	2.56499	2.56499
PS192500	PS615040	2.56315	1.35848	2.12551	2.56315
PS113900	PS160120	2.54411	1.00153	2.55933	2.55933
PS160120	PS600513	2.31083	1.64124	2.55566	2.55566
PS100300	PS187300	2.54846	0.27424	0.26987	2.54846
PS600513	PS609620	2.251	1.45166	2.5451	2.5451
PS109730	PS187300	2.54432	0.07178	0.59827	2.54432
PS168000	PS600721	2.54422	1.58557	1.88435	2.54422
PS256520	PS300352	2.5416	0.74494	1.08837	2.5416
PS249270	PS615040	0.77155	1.08995	2.54153	2.54153
PS100300	PS108800	2.54054	0.38463	0.16398	2.54054
PS113900	PS115210	2.53935	0.53376	0.31304	2.53935
PS208500	PS218330	1.92887	2.53639	0.30575	2.53639
PS107970	PS601144	2.5354	0.64553	0.21294	2.5354
PS260370	PS613038	1.82968	0.40148	2.53533	2.53533
PS241550	PS606215	2.53529	0.55054	0.21925	2.53529
PS212065	PS610542	2.41895	0.98659	2.53271	2.53271
PS210200	PS256520	2.52962	0.65024	0.46644	2.52962
PS211400	PS609620	2.33766	1.42638	2.52933	2.52933
PS608567	PS613280	1.43216	0.86719	2.5275	2.5275
PS121210	PS600513	2.52668	1.69138	2.29117	2.52668
PS153100	PS187300	2.52156	0.81005	0.29063	2.52156
PS187300	PS268310	2.51897	0.64231	1.06974	2.51897
PS108800	PS187300	2.51606	0.06834	0.21003	2.51606
PS602014	PS613280	1.31252	0.71626	2.51432	2.51432
PS178600	PS187300	2.51282	0.61211	1.20485	2.51282
PS119530	PS609192	2.50774	0.57546	0.27778	2.50774
PS212065	PS236670	1.36715	0.9694	2.50722	2.50722
PS212065	PS613155	1.82938	1.00921	2.50722	2.50722
PS115210	PS608567	2.50348	0.47425	0.27267	2.50348
PS107970	PS609620	2.50013	0.74797	0.22956	2.50013
PS249270	PS613280	1.26034	0.80437	2.49965	2.49965
PS108800	PS109730	2.4963	0.84001	1.92772	2.4963
PS209900	PS266900	1.56914	2.49572	0.37491	2.49572
PS160120	PS601144	2.37018	1.13841	2.48939	2.48939
PS160120	PS608583	2.48762	1.16229	2.41012	2.48762
PS248600	PS312170	2.48633	2.39439	2.42834	2.48633
PS115150	PS268310	2.47976	1.09285	0.7409	2.47976
PS601678	PS608567	1.93323	1.49852	2.47505	2.47505
PS104290	PS211400	2.47468	1.3045	1.45073	2.47468
PS601678	PS609620	2.1796	1.38085	2.46838	2.46838
PS107970	PS220400	2.46274	0.61972	0.21112	2.46274
PS256520	PS259900	2.45992	0.8	0.36279	2.45992
PS121210	PS613280	1.67502	0.75071	2.4597	2.4597
PS604233	PS613280	1.3608	0.68409	2.4597	2.4597
PS268310	PS606215	2.45753	0.77897	0.73308	2.45753
PS100300	PS268310	2.45681	0.60245	0.3009	2.45681
PS115210	PS161800	2.45563	2.32804	1.85758	2.45563
PS609161	PS610489	1.70815	0.29712	2.45157	2.45157
PS220400	PS600513	2.44646	1.58771	2.30964	2.44646
PS108800	PS609192	2.44634	0.51967	0.47531	2.44634
PS113900	PS121200	1.21665	0.98134	2.44461	2.44461
PS132400	PS167200	0.97861	0.71666	2.44417	2.44417
PS167200	PS193900	2.35089	2.36748	2.44417	2.44417
PS194070	PS614429	2.43677	0.84662	0.71071	2.43677
PS100300	PS606215	2.43625	0.58859	0.20707	2.43625
PS108300	PS231050	1.40397	2.43596	0.55977	2.43596
PS104290	PS604233	2.43535	1.53248	1.28744	2.43535
PS175780	PS231050	1.86163	2.43484	0.23174	2.43484
PS249270	PS601764	0.91592	1.06898	2.43468	2.43468
PS121200	PS601144	1.3255	1.25727	2.43105	2.43105
PS601678	PS604233	1.67108	1.34521	2.43038	2.43038
PS160120	PS203100	0.86481	0.59045	2.43036	2.43036
PS115210	PS601419	1.06187	2.42729	1.54862	2.42729
PS192500	PS604233	2.42698	1.38187	2.00727	2.42698
PS154500	PS214150	1.41956	2.42677	0.95482	2.42677
PS312170	PS600721	2.41782	1.55196	1.38959	2.41782
PS104290	PS600513	2.4164	1.47883	1.2091	2.4164
PS218330	PS249000	1.53139	2.41418	0.35186	2.41418
PS114580	PS120100	2.41143	0.46171	0.26273	2.41143
PS107970	PS192500	2.41029	0.80792	0.26488	2.41029
PS600513	PS615040	2.18072	1.65255	2.41008	2.41008
PS600513	PS608567	2.40779	1.64195	2.15477	2.40779
PS100300	PS109730	2.40644	0.52386	0.23758	2.40644
PS175800	PS607765	2.40578	0.45357	0.76234	2.40578
PS115210	PS614429	2.40566	0.73441	0.20383	2.40566
PS192600	PS604169	2.40474	1.79211	1.51811	2.40474
PS119530	PS268310	2.4011	1.10457	0.32826	2.4011
PS107250	PS613038	1.70738	0.37484	2.39925	2.39925
PS160120	PS192500	2.35833	1.43706	2.39122	2.39122
PS312170	PS607426	2.38908	1.25833	0.93905	2.38908
PS236670	PS613155	1.71458	1.33617	2.38835	2.38835
PS119530	PS614429	2.37943	1.02339	0.15578	2.37943
PS121210	PS192500	2.37587	1.48488	1.90847	2.37587
PS215100	PS259900	1.13477	2.37533	0.51919	2.37533
PS173900	PS213600	2.37407	1.45081	1.20869	2.37407
PS109730	PS609192	2.36706	0.78695	0.85263	2.36706
PS108300	PS132400	1.76477	2.15153	2.36439	2.36439
PS604772	PS615040	2.36023	0.98867	0	2.36023
PS113900	PS600513	2.35903	1.20231	1.83423	2.35903
PS108800	PS268310	2.35803	0.52888	0.6793	2.35803
PS210200	PS605711	2.35779	1.56922	0.53672	2.35779
PS100300	PS241550	2.35606	0.36179	0.2446	2.35606
PS104290	PS601764	2.35214	1.59478	0.97721	2.35214
PS100300	PS609192	2.35191	0.5757	0.26389	2.35191
PS173900	PS211400	1.04303	1.3961	2.34881	2.34881
PS118100	PS187300	2.3475	0.67939	1.32572	2.3475
PS118450	PS614429	2.34467	0.07372	0.15578	2.34467
PS192500	PS601764	2.34447	1.35831	1.77391	2.34447
PS121200	PS600513	1.23407	1.53684	2.34159	2.34159
PS251270	PS300000	2.06315	2.33916		2.33916
PS121200	PS608583	1.43703	1.25573	2.33747	2.33747
PS276700	PS300352	2.33274	0.85251	0.43535	2.33274
PS209900	PS218330	1.67909	2.32978	0.33342	2.32978
PS121200	PS249270	1.29225	0.89154	2.32865	2.32865
PS308230	PS308240	2.32819	0.95258	0.44553	2.32819
PS108300	PS200600	2.32634	1.0094	0.22931	2.32634
PS160565	PS613280	2.32536	0.75826	0	2.32536
PS213600	PS609192	2.32354	1.18619	1.85002	2.32354
PS135900	PS614429	1.44626	1.28505	2.32143	2.32143
PS210200	PS252150	2.3187	0.87394	1.20092	2.3187
PS118100	PS277300	2.31644	0.49773	0.52253	2.31644
PS606215	PS613038	1.76557	0.89065	2.31598	2.31598
PS192600	PS614429	2.31558	0.69393	0.18136	2.31558
PS104290	PS160120	2.31525	1.78188	1.77326	2.31525
PS108800	PS604169	2.31185	0.62385	0.30955	2.31185
PS187300	PS213600	2.31169	1.23974	1.57495	2.31169
PS151623	PS214150	2.31127	1.7127	0.7125	2.31127
PS208500	PS266900	1.45714	2.3095	0.35186	2.3095
PS109730	PS606215	2.30891	0.84407	2.12953	2.30891
PS160120	PS249270	0.99669	0.74821	2.30838	2.30838
PS135500	PS160120	1.17016	0.86715	2.30793	2.30793
PS121200	PS192500	1.41472	1.29221	2.30716	2.30716
PS180849	PS614429	1.64623	1.28824	2.30453	2.30453
PS203100	PS615040	0.60473	0.91629	2.30236	2.30236
PS121200	PS602014	1.21563	0.77928	2.30096	2.30096
PS115150	PS609192	2.29943	0.80813	1.85575	2.29943
PS108800	PS192600	2.29713	0.65218	0.32272	2.29713
PS120100	PS182250	2.29645	0.52522	1.14777	2.29645
PS602014	PS615040	1.52352	0.9867	2.29475	2.29475
PS173900	PS194070	2.29113	0.62	0.21839	2.29113
PS213300	PS266900	1.49198	2.29064	0.35186	2.29064
PS604169	PS614429	2.28971	0.67406	0.16933	2.28971
PS108800	PS180849	1.50555	1.02129	2.28899	2.28899
PS222470	PS609161	2.28838	0.64849	0.11161	2.28838
PS108800	PS115210	2.28742	0.65915	0.22236	2.28742
PS309800	PS614429	2.28405	0.96052	1.13081	2.28405
PS109730	PS194070	2.28196	0.73962	0.95935	2.28196
PS185800	PS268310	2.28074	0	0.36096	2.28074
PS186500	PS268310	2.28074	0	0.36096	2.28074
PS191100	PS604364	1.8736	0.79642	2.28061	2.28061
PS145260	PS192500	2.27901	0.77748	0.89882	2.27901
PS248600	PS256520	2.27797	0.44003	0.76186	2.27797
PS214150	PS600630	2.27028	1.31736	0.54167	2.27028
PS133780	PS268310	2.26507	0.86211	0.87881	2.26507
PS160120	PS173900	1.63329	1.25024	2.2639	2.2639
PS151100	PS609192	2.26205	0.50268	1.96476	2.26205
PS173900	PS609192	2.26143	1.19308	0.25102	2.26143
PS600513	PS604233	2.2581	1.44543	2.12764	2.2581
PS120100	PS308240	2.25705	0.4279	0.48124	2.25705
PS241550	PS609192	2.25642	0.50875	0.27778	2.25642
PS123100	PS606215	1.68314	0.67319	2.25582	2.25582
PS100300	PS118450	2.25169	0.43369	0.2446	2.25169
PS213600	PS268310	2.25056	1.22024	0.82463	2.25056
PS220400	PS602014	1.78695	1.1179	2.24965	2.24965
PS178600	PS609192	2.24946	0.85434	1.5862	2.24946
PS115210	PS220400	2.2488	0.55951	0.24994	2.2488
PS178600	PS606215	2.24759	0.73554	0.63906	2.24759
PS600630	PS601675	2.24717	1.22175	0.25024	2.24717
PS244400	PS266900	1.46266	2.24564	0.35186	2.24564
PS100300	PS309800	2.2447	0.25611	0.18728	2.2447
PS178600	PS268310	2.24233	1.19873	0.80985	2.24233
PS108800	PS135900	1.42947	1.08315	2.24179	2.24179
PS106600	PS268310	2.24154	0.25159	0.85445	2.24154
PS175800	PS614080	2.24154	0.48795	0.85745	2.24154
PS114580	PS308230	2.23993	0.65264	0.28695	2.23993
PS109730	PS268310	2.23694	0.66744	1.16026	2.23694
PS600513	PS608583	2.23604	1.72336	1.85405	2.23604
PS132400	PS277600	0.26882	2.23234	0	2.23234
PS192600	PS241550	2.22785	0.6479	0.32551	2.22785
PS259900	PS607765	2.2275	0.51455	0.57776	2.2275
PS600513	PS601144	2.22728	1.45166	1.75342	2.22728
PS160120	PS237450	1.61254	0.76118	2.22668	2.22668
PS187300	PS194070	2.22517	0.07883	0.27421	2.22517
PS236100	PS268310	2.22372	0.57266	0.40551	2.22372
PS178600	PS192500	2.2208	1.02982	0.22225	2.2208
PS203100	PS613280	0.51913	0.44654	2.22033	2.22033
PS107250	PS260370	1.37254	0.50042	2.21867	2.21867
PS191100	PS268310	2.21848	0.65638	0.31304	2.21848
PS160120	PS604772	2.2171	1.0506	0.29764	2.2171
PS173900	PS268310	2.21702	1.66283	0.56215	2.21702
PS121200	PS203100	0.51624	0.40529	2.21656	2.21656
PS118100	PS614429	2.21517	0.59993	0.4385	2.21517
PS122000	PS187300	2.21517	0.06956	0.24195	2.21517
PS209900	PS249000	1.57865	2.21159	0.37491	2.21159
PS107970	PS192600	2.21147	0.59703	0.35186	2.21147
PS115210	PS609620	2.2099	0.50004	0.2548	2.2099
PS187300	PS309800	2.20904	0.07175	0.49334	2.20904
